DA_losses,DB_losses,D_losses,G_losses,gA_d_losses_synthetic,gA_losses_reconstructed,gB_d_losses_synthetic,gB_losses_reconstructed,reconstruction_losses
0.07176645,0.087269224,0.15903568,"[5.24188, 0.12557158, 0.23088293, 0.86113065, 0.8162044]",0.12557158,0.86113065,0.23088293,0.8162044,1.677335
0.099028364,0.06488491,0.16391328,"[6.5409846, 0.25767973, 0.22913301, 0.8034869, 0.86937034]",0.25767973,0.8034869,0.22913301,0.86937034,1.6728573
0.030535642,0.011513678,0.04204932,"[5.00098, 0.11195418, 0.20957921, 0.8710121, 0.9146339]",0.11195418,0.8710121,0.20957921,0.9146339,1.785646
0.012567528,0.019593889,0.032161415,"[6.1430626, 0.20849751, 0.22535156, 0.891695, 0.91287726]",0.20849751,0.891695,0.22535156,0.91287726,1.8045723
0.06532475,0.07927541,0.14460015,"[5.71805, 0.19687776, 0.20820482, 0.8549899, 0.81223416]",0.19687776,0.8549899,0.20820482,0.81223416,1.667224
0.030860249,0.12277581,0.15363605,"[4.895336, 0.10899369, 0.19718063, 0.91568834, 0.91790485]",0.10899369,0.91568834,0.19718063,0.91790485,1.8335931
0.142227,0.04083546,0.18306245,"[5.9421244, 0.23070143, 0.18692636, 0.8423056, 0.9235405]",0.23070143,0.8423056,0.18692636,0.9235405,1.765846
0.28386787,0.011490801,0.29535866,"[5.4517574, 0.13362068, 0.24548398, 0.73239934, 0.9283111]",0.13362068,0.73239934,0.24548398,0.9283111,1.6607105
0.13346037,0.0061335387,0.13959391,"[5.511805, 0.15894271, 0.216226, 0.8411826, 0.9189354]",0.15894271,0.8411826,0.216226,0.9189354,1.760118
0.10118748,0.0049442016,0.10613169,"[6.2340775, 0.25047874, 0.19710816, 0.86273634, 0.8954722]",0.25047874,0.86273634,0.19710816,0.8954722,1.7582085
0.10691929,0.0060597947,0.112979084,"[5.1126275, 0.16861625, 0.17165036, 0.82348156, 0.88648003]",0.16861625,0.82348156,0.17165036,0.88648003,1.7099617
0.12279438,0.0062003885,0.12899478,"[4.6282873, 0.12614992, 0.15988362, 0.8785273, 0.8894249]",0.12614992,0.8785273,0.15988362,0.8894249,1.7679522
0.026986789,0.0076411692,0.03462796,"[4.822935, 0.10990676, 0.19225498, 0.92714363, 0.874174]",0.10990676,0.92714363,0.19225498,0.874174,1.8013177
0.022816874,0.007992995,0.030809868,"[4.9014664, 0.12133842, 0.19268186, 0.8746103, 0.88665366]",0.12133842,0.8746103,0.19268186,0.88665366,1.761264
0.022221602,0.003635123,0.025856726,"[5.4802084, 0.13261671, 0.23230748, 0.9217442, 0.90922225]",0.13261671,0.9217442,0.23230748,0.90922225,1.8309665
0.014083581,0.0044052717,0.018488852,"[5.4782176, 0.13202724, 0.23416941, 0.8989421, 0.91730917]",0.13202724,0.8989421,0.23416941,0.91730917,1.8162513
0.024988553,0.0039088773,0.02889743,"[5.3533835, 0.124587595, 0.22950755, 0.91526574, 0.8971663]",0.124587595,0.91526574,0.22950755,0.8971663,1.812432
0.017130118,0.0045359046,0.021666022,"[5.109065, 0.1637375, 0.16527912, 0.91084796, 0.90805036]",0.1637375,0.91084796,0.16527912,0.90805036,1.8188983
0.008651493,0.0037572188,0.012408712,"[4.7407613, 0.11229381, 0.18192749, 0.89669806, 0.90185034]",0.11229381,0.89669806,0.18192749,0.90185034,1.7985485
0.011173662,0.003521115,0.014694776,"[5.383052, 0.17316346, 0.18202741, 0.9279944, 0.9031486]",0.17316346,0.9279944,0.18202741,0.9031486,1.8311429
0.009064643,0.0053625894,0.014427232,"[4.9020166, 0.12163981, 0.18683434, 0.9249017, 0.8923731]",0.12163981,0.9249017,0.18683434,0.8923731,1.8172748
0.0053589544,0.0035841893,0.008943144,"[4.4915524, 0.08624458, 0.17767958, 0.9334238, 0.9188869]",0.08624458,0.9334238,0.17767958,0.9188869,1.8523107
0.006130633,0.001871647,0.00800228,"[5.8901095, 0.15902825, 0.24392359, 0.9312367, 0.92935467]",0.15902825,0.9312367,0.24392359,0.92935467,1.8605914
0.005667882,0.0029904838,0.008658366,"[5.1258063, 0.1344729, 0.19324867, 0.9270928, 0.9214979]",0.1344729,0.9270928,0.19324867,0.9214979,1.8485906
0.008259167,0.004195674,0.012454841,"[4.777067, 0.1443861, 0.1496789, 0.9285353, 0.9078821]",0.1443861,0.9285353,0.1496789,0.9078821,1.8364174
0.009394409,0.0025343052,0.011928715,"[5.3971505, 0.12697656, 0.22698605, 0.9442792, 0.9132451]",0.12697656,0.9442792,0.22698605,0.9132451,1.8575243
0.03545088,0.0028253659,0.038276244,"[4.779734, 0.10008556, 0.19065695, 0.95333546, 0.9189736]",0.10008556,0.95333546,0.19065695,0.9189736,1.8723091
0.23036477,0.0024090142,0.23277378,"[4.5671797, 0.1154686, 0.16396256, 0.8470368, 0.9258313]",0.1154686,0.8470368,0.16396256,0.9258313,1.7728682
0.13305394,0.0028872439,0.13594119,"[4.520667, 0.094757736, 0.17614518, 0.89320505, 0.91843295]",0.094757736,0.89320505,0.17614518,0.91843295,1.811638
0.22247687,0.0032205968,0.22569747,"[4.618468, 0.108322084, 0.18199176, 0.7951602, 0.9201692]",0.108322084,0.7951602,0.18199176,0.9201692,1.7153294
0.104327165,0.0028479774,0.10717514,"[5.4369473, 0.13393104, 0.22795658, 0.89371216, 0.92435896]",0.13393104,0.89371216,0.22795658,0.92435896,1.8180711
0.19028924,0.0025613164,0.19285056,"[5.0931554, 0.14474201, 0.18299371, 0.88793904, 0.9278592]",0.14474201,0.88793904,0.18299371,0.9278592,1.8157983
0.13446453,0.004741206,0.13920574,"[4.5917873, 0.09693301, 0.18380095, 0.85912746, 0.9253204]",0.09693301,0.85912746,0.18380095,0.9253204,1.7844479
0.015060196,0.0028279293,0.017888125,"[5.0049133, 0.114774175, 0.19927682, 0.93191826, 0.93248516]",0.114774175,0.93191826,0.19927682,0.93248516,1.8644035
0.036414705,0.0032121325,0.039626837,"[4.8845353, 0.12746264, 0.17943318, 0.88758034, 0.92799675]",0.12746264,0.88758034,0.17943318,0.92799675,1.815577
0.013047769,0.003704349,0.016752118,"[5.346655, 0.18607254, 0.16465926, 0.919154, 0.92018294]",0.18607254,0.919154,0.16465926,0.92018294,1.8393369
0.009828128,0.0046065403,0.014434668,"[4.2987585, 0.07348012, 0.17301987, 0.90488327, 0.92887557]",0.07348012,0.90488327,0.17301987,0.92887557,1.8337588
0.017949615,0.0022984943,0.02024811,"[5.6050344, 0.17699699, 0.19888003, 0.9047509, 0.94151324]",0.17699699,0.9047509,0.19888003,0.94151324,1.8462641
0.007985864,0.0021275552,0.010113419,"[6.1488543, 0.23012145, 0.19846575, 0.922576, 0.9404064]",0.23012145,0.922576,0.19846575,0.9404064,1.8629824
0.006927325,0.0026879201,0.009615245,"[4.603199, 0.09282082, 0.18246877, 0.9104272, 0.93987614]",0.09282082,0.9104272,0.18246877,0.93987614,1.8503034
0.00499922,0.002163488,0.007162708,"[5.447448, 0.15899414, 0.19912927, 0.92319727, 0.94301593]",0.15899414,0.92319727,0.19912927,0.94301593,1.8662132
0.020596286,0.0019376408,0.022533927,"[6.1831775, 0.25390252, 0.18520725, 0.851071, 0.9410091]",0.25390252,0.851071,0.18520725,0.9410091,1.7920802
0.03032686,0.0014608555,0.031787716,"[4.905957, 0.076340534, 0.22495842, 0.94919527, 0.9437725]",0.076340534,0.94919527,0.22495842,0.9437725,1.8929677
0.32213086,0.0011351452,0.323266,"[5.338119, 0.115454614, 0.23148479, 0.9160233, 0.95270205]",0.115454614,0.9160233,0.23148479,0.95270205,1.8687253
0.2877488,0.0013353454,0.28908417,"[5.7213597, 0.17260392, 0.23404479, 0.7062565, 0.9486163]",0.17260392,0.7062565,0.23404479,0.9486163,1.6548729
0.09246479,0.003137253,0.09560204,"[4.4602003, 0.102379024, 0.1723097, 0.7716, 0.94171333]",0.102379024,0.7716,0.1723097,0.94171333,1.7133133
0.1047104,0.0042365785,0.10894698,"[5.1001673, 0.15562911, 0.18319364, 0.7623115, 0.94962853]",0.15562911,0.7623115,0.18319364,0.94962853,1.71194
0.123638295,0.068095185,0.19173348,"[4.7155876, 0.15048249, 0.13278176, 0.90827084, 0.9746742]",0.15048249,0.90827084,0.13278176,0.9746742,1.8829451
0.1504109,0.06828677,0.21869767,"[4.413047, 0.09603446, 0.17023766, 0.82356924, 0.92675626]",0.09603446,0.82356924,0.17023766,0.92675626,1.7503254
0.06916505,0.097839594,0.16700464,"[4.8150544, 0.12919475, 0.18285166, 0.8596371, 0.8349534]",0.12919475,0.8596371,0.18285166,0.8349534,1.6945906
0.027431395,0.012336019,0.039767414,"[4.6889586, 0.11001611, 0.17777693, 0.90054864, 0.91047955]",0.11001611,0.90054864,0.17777693,0.91047955,1.8110282
0.015090482,0.004928679,0.020019162,"[4.215005, 0.08506554, 0.15634875, 0.8856107, 0.91525143]",0.08506554,0.8856107,0.15634875,0.91525143,1.8008621
0.25949413,0.006086125,0.26558024,"[5.258326, 0.20367117, 0.16477786, 0.6613611, 0.9124748]",0.20367117,0.6613611,0.16477786,0.9124748,1.5738358
0.028945997,0.0022712927,0.03121729,"[5.354841, 0.17449576, 0.18069582, 0.87992644, 0.9229987]",0.17449576,0.87992644,0.18069582,0.9229987,1.8029251
0.13645253,0.002702777,0.1391553,"[4.8521576, 0.117750905, 0.20026183, 0.7493343, 0.92269564]",0.117750905,0.7493343,0.20026183,0.92269564,1.67203
0.03950014,0.002089587,0.041589726,"[5.9446034, 0.24581845, 0.16610031, 0.90377676, 0.9216396]",0.24581845,0.90377676,0.16610031,0.9216396,1.8254163
0.021328997,0.0019606566,0.023289654,"[4.422599, 0.08129313, 0.17887022, 0.89855427, 0.9224111]",0.08129313,0.89855427,0.17887022,0.9224111,1.8209653
0.01583898,0.0025569475,0.018395929,"[5.2440977, 0.17778134, 0.16769147, 0.867448, 0.92192173]",0.17778134,0.867448,0.16769147,0.92192173,1.7893697
0.011462426,0.0017811584,0.013243584,"[5.166786, 0.15522946, 0.17856319, 0.9053351, 0.9235245]",0.15522946,0.9053351,0.17856319,0.9235245,1.8288596
0.019333456,0.0015941153,0.02092757,"[4.3089714, 0.08955247, 0.15912436, 0.89070034, 0.9315026]",0.08955247,0.89070034,0.15912436,0.9315026,1.8222029
0.048412796,0.004242272,0.052655067,"[5.4055753, 0.21877432, 0.13951023, 0.8931267, 0.9296033]",0.21877432,0.8931267,0.13951023,0.9296033,1.8227301
0.024386315,0.0014643068,0.025850622,"[4.5899305, 0.092833064, 0.18492822, 0.8799716, 0.9323465]",0.092833064,0.8799716,0.18492822,0.9323465,1.8123181
0.009565707,0.0014044093,0.010970117,"[4.35414, 0.06950135, 0.18274857, 0.8979613, 0.9336791]",0.06950135,0.8979613,0.18274857,0.9336791,1.8316405
0.01667658,0.0019131496,0.01858973,"[4.658332, 0.11856553, 0.16329491, 0.89799005, 0.9417374]",0.11856553,0.89799005,0.16329491,0.9417374,1.8397274
0.024014719,0.001378401,0.02539312,"[5.047238, 0.15106277, 0.16896085, 0.90609246, 0.9409089]",0.15106277,0.90609246,0.16896085,0.9409089,1.8470013
0.0056105107,0.0010616842,0.006672195,"[5.6633787, 0.19632708, 0.18377775, 0.9187001, 0.94363034]",0.19632708,0.9187001,0.18377775,0.94363034,1.8623304
0.006612525,0.00075214857,0.0073646735,"[5.301583, 0.1653711, 0.17769994, 0.92052805, 0.9503446]",0.1653711,0.92052805,0.17769994,0.9503446,1.8708727
0.004136851,0.00078770326,0.0049245544,"[5.6482477, 0.18399246, 0.19432187, 0.917721, 0.9473841]",0.18399246,0.917721,0.19432187,0.9473841,1.8651052
0.00850102,0.00081507664,0.009316097,"[4.700031, 0.11411478, 0.17238504, 0.88753587, 0.9474968]",0.11411478,0.88753587,0.17238504,0.9474968,1.8350327
0.006119835,0.000738448,0.006858283,"[5.1630125, 0.1508946, 0.1790405, 0.9119455, 0.9517161]",0.1508946,0.9119455,0.1790405,0.9517161,1.8636616
0.007782127,0.0007699427,0.00855207,"[4.5259852, 0.10868544, 0.15719858, 0.9073795, 0.9597653]",0.10868544,0.9073795,0.15719858,0.9597653,1.8671448
0.0063966713,0.0007620656,0.0071587367,"[5.0688896, 0.16776903, 0.15260614, 0.91044134, 0.95469666]",0.16776903,0.91044134,0.15260614,0.95469666,1.865138
0.1602171,0.00055780803,0.16077492,"[5.1578875, 0.11194042, 0.22005732, 0.8847581, 0.95315146]",0.11194042,0.8847581,0.22005732,0.95315146,1.8379096
0.2339974,0.00091339776,0.2349108,"[4.462263, 0.10462596, 0.16146936, 0.8517942, 0.94951594]",0.10462596,0.8517942,0.16146936,0.94951594,1.8013101
0.2904534,0.00062866637,0.29108208,"[4.8484783, 0.13888653, 0.18522072, 0.65332997, 0.95407647]",0.13888653,0.65332997,0.18522072,0.95407647,1.6074064
0.21928844,0.0010620205,0.22035046,"[4.1231146, 0.10761716, 0.12842026, 0.80861586, 0.9541242]",0.10761716,0.80861586,0.12842026,0.9541242,1.7627401
0.1830422,0.00070664467,0.18374884,"[4.5326567, 0.12229683, 0.16013993, 0.75485253, 0.9534364]",0.12229683,0.75485253,0.16013993,0.9534364,1.7082889
0.03358729,0.0005788794,0.034166172,"[4.585714, 0.107860625, 0.17083299, 0.8388324, 0.9599453]",0.107860625,0.8388324,0.17083299,0.9599453,1.7987777
0.028174989,0.0006071969,0.028782185,"[5.968305, 0.2626572, 0.15376689, 0.8463412, 0.957723]",0.2626572,0.8463412,0.15376689,0.957723,1.8040643
0.094833545,0.0005022788,0.09533583,"[4.248124, 0.07847899, 0.17148532, 0.7943607, 0.9541205]",0.07847899,0.7943607,0.17148532,0.9541205,1.7484813
0.041993033,0.00046640536,0.04245944,"[5.080227, 0.10572133, 0.21764624, 0.88968956, 0.9568616]",0.10572133,0.88968956,0.21764624,0.9568616,1.8465512
0.04831843,0.0005517369,0.04887017,"[4.9030023, 0.12927152, 0.18019581, 0.8552119, 0.95311725]",0.12927152,0.8552119,0.18019581,0.95311725,1.8083291
0.037897594,0.0008276376,0.03872523,"[4.572791, 0.12546416, 0.15054192, 0.86378115, 0.948949]",0.12546416,0.86378115,0.15054192,0.948949,1.8127301
0.018342648,0.00054251193,0.01888516,"[5.337893, 0.13747436, 0.21375744, 0.8731067, 0.9524682]",0.13747436,0.8731067,0.21375744,0.9524682,1.8255749
0.022784967,0.0004939821,0.02327895,"[4.637562, 0.11797291, 0.16309907, 0.86978954, 0.95705265]",0.11797291,0.86978954,0.16309907,0.95705265,1.8268422
0.017954217,0.00092927285,0.018883491,"[5.04788, 0.19349588, 0.1278277, 0.8770044, 0.9576399]",0.19349588,0.8770044,0.1278277,0.9576399,1.8346443
0.06024736,0.00062725187,0.060874615,"[4.8738456, 0.122825705, 0.17743479, 0.9208006, 0.9504398]",0.122825705,0.9208006,0.17743479,0.9504398,1.8712404
0.16347972,0.0008882322,0.16436794,"[4.673606, 0.12795639, 0.16183583, 0.83142966, 0.9442538]",0.12795639,0.83142966,0.16183583,0.9442538,1.7756834
0.050914258,0.00076561165,0.05167987,"[4.5322595, 0.10305367, 0.16723265, 0.8773626, 0.95203364]",0.10305367,0.8773626,0.16723265,0.95203364,1.8293962
0.04831974,0.0011589755,0.049478713,"[4.8471475, 0.16107167, 0.14343299, 0.85586315, 0.9462379]",0.16107167,0.85586315,0.14343299,0.9462379,1.8021011
0.07336304,0.0007189208,0.074081965,"[4.54596, 0.08385179, 0.17981917, 0.95811415, 0.95113623]",0.08385179,0.95811415,0.17981917,0.95113623,1.9092504
0.3588969,0.00066182937,0.35955873,"[4.669485, 0.13918792, 0.15490831, 0.77386874, 0.95465404]",0.13918792,0.77386874,0.15490831,0.95465404,1.7285228
0.16074185,0.00061052886,0.16135238,"[4.521274, 0.12182472, 0.15963729, 0.75258785, 0.9540664]",0.12182472,0.75258785,0.15963729,0.9540664,1.7066543
0.042932462,0.0005712132,0.043503676,"[4.5079875, 0.11308104, 0.15850087, 0.8394175, 0.9527513]",0.11308104,0.8394175,0.15850087,0.9527513,1.7921689
0.0693036,0.0009863584,0.07028996,"[4.441092, 0.13874762, 0.12892719, 0.8118736, 0.9524703]",0.13874762,0.8118736,0.12892719,0.9524703,1.764344
0.13317335,0.0009211689,0.13409452,"[4.0243025, 0.08638438, 0.1399173, 0.8137054, 0.94758016]",0.08638438,0.8137054,0.1399173,0.94758016,1.7612855
0.14123282,0.0007541829,0.141987,"[4.2247987, 0.072904274, 0.16430962, 0.90501976, 0.94764]",0.072904274,0.90501976,0.16430962,0.94764,1.8526597
0.11171533,0.0009781964,0.112693526,"[4.498076, 0.121605195, 0.15540157, 0.78361315, 0.9443949]",0.121605195,0.78361315,0.15540157,0.9443949,1.728008
0.050846178,0.0009180448,0.051764224,"[4.451995, 0.11528576, 0.14758812, 0.87475437, 0.94850135]",0.11528576,0.87475437,0.14758812,0.94850135,1.8232558
0.075776406,0.0017976353,0.077574044,"[3.9801323, 0.09749512, 0.13073777, 0.75923055, 0.9385729]",0.09749512,0.75923055,0.13073777,0.9385729,1.6978035
0.08783283,0.00072180096,0.08855463,"[4.904775, 0.15324563, 0.15354623, 0.8800654, 0.9567916]",0.15324563,0.8800654,0.15354623,0.9567916,1.836857
0.029405981,0.0010897159,0.030495698,"[4.452834, 0.10148898, 0.15689613, 0.9228689, 0.94611406]",0.10148898,0.9228689,0.15689613,0.94611406,1.868983
0.05812402,0.0033955076,0.06151953,"[5.194933, 0.19165502, 0.14960586, 0.8256383, 0.95668626]",0.19165502,0.8256383,0.14960586,0.95668626,1.7823246
0.091353625,0.0003300994,0.09168372,"[4.803241, 0.08068352, 0.21195798, 0.90150183, 0.97532374]",0.08068352,0.90150183,0.21195798,0.97532374,1.8768256
0.042990323,0.0044371155,0.04742744,"[4.370194, 0.0825425, 0.16770343, 0.90109456, 0.96663994]",0.0825425,0.90109456,0.16770343,0.96663994,1.8677344
0.022273907,0.00092425325,0.023198161,"[4.57111, 0.10788538, 0.16525361, 0.86904943, 0.9706701]",0.10788538,0.86904943,0.16525361,0.9706701,1.8397195
0.06914194,0.000497848,0.06963979,"[6.357333, 0.29957297, 0.15357743, 0.86341405, 0.96241546]",0.29957297,0.86341405,0.15357743,0.96241546,1.8258295
0.12233464,0.00044293446,0.122777574,"[4.5838647, 0.121240735, 0.15785898, 0.830088, 0.9627795]",0.121240735,0.830088,0.15785898,0.9627795,1.7928675
0.027772546,0.000388746,0.028161291,"[4.643877, 0.10972013, 0.165796, 0.9264861, 0.9622295]",0.10972013,0.9264861,0.165796,0.9622295,1.8887155
0.02906125,0.0006113318,0.029672582,"[5.755233, 0.2468925, 0.1442585, 0.88831496, 0.95540833]",0.2468925,0.88831496,0.1442585,0.95540833,1.8437233
0.019928385,0.00078249024,0.020710874,"[4.2480116, 0.104116894, 0.13666011, 0.88927555, 0.95096576]",0.104116894,0.88927555,0.13666011,0.95096576,1.8402413
0.022687081,0.00069063815,0.02337772,"[4.436273, 0.102416955, 0.15763868, 0.88292766, 0.9527891]",0.102416955,0.88292766,0.15763868,0.9527891,1.8357167
0.056966137,0.0006584799,0.057624616,"[4.82655, 0.14611183, 0.1465484, 0.94890755, 0.95104015]",0.14611183,0.94890755,0.1465484,0.95104015,1.8999476
0.030239541,0.0009896624,0.031229204,"[5.4929156, 0.22263251, 0.13743426, 0.94669056, 0.9455573]",0.22263251,0.94669056,0.13743426,0.9455573,1.8922479
0.024499573,0.0011882206,0.025687793,"[4.194738, 0.10521522, 0.13398314, 0.8486401, 0.9541145]",0.10521522,0.8486401,0.13398314,0.9541145,1.8027546
0.11309958,0.0005572351,0.11365682,"[4.8430943, 0.13236621, 0.16034444, 0.95705444, 0.9589334]",0.13236621,0.95705444,0.16034444,0.9589334,1.9159878
0.106122546,0.00068761833,0.10681017,"[5.6024327, 0.22458436, 0.15648197, 0.8387736, 0.95299566]",0.22458436,0.8387736,0.15648197,0.95299566,1.7917693
0.07259695,0.00056872604,0.07316568,"[4.5714607, 0.118588336, 0.15088737, 0.91557074, 0.961133]",0.118588336,0.91557074,0.15088737,0.961133,1.8767037
0.13369052,0.0010302912,0.13472082,"[4.2419043, 0.13025092, 0.11788965, 0.807254, 0.9532445]",0.13025092,0.807254,0.11788965,0.9532445,1.7604985
0.061921827,0.0077313064,0.06965313,"[4.0702777, 0.11009424, 0.11308987, 0.9111172, 0.92731935]",0.11009424,0.9111172,0.11308987,0.92731935,1.8384366
0.1005706,0.001536545,0.102107145,"[4.8365006, 0.10785063, 0.19305938, 0.8715632, 0.9558372]",0.10785063,0.8715632,0.19305938,0.9558372,1.8274004
0.023303088,0.015897801,0.039200887,"[4.159962, 0.083346665, 0.15149593, 0.8610341, 0.95050234]",0.083346665,0.8610341,0.15149593,0.95050234,1.8115364
0.026289627,0.012471892,0.03876152,"[5.2295427, 0.17808628, 0.16449581, 0.88360345, 0.9201184]",0.17808628,0.88360345,0.16449581,0.9201184,1.8037219
0.03291008,0.002668303,0.03557838,"[5.269921, 0.1855243, 0.15450555, 0.92394257, 0.94568014]",0.1855243,0.92394257,0.15450555,0.94568014,1.8696227
0.03974463,0.001134597,0.040879227,"[4.5347576, 0.12424627, 0.14318018, 0.9013581, 0.9591351]",0.12424627,0.9013581,0.14318018,0.9591351,1.8604932
0.01345829,0.0032202466,0.016678536,"[4.1211324, 0.11150087, 0.11684749, 0.8983001, 0.9393486]",0.11150087,0.8983001,0.11684749,0.9393486,1.8376486
0.07048702,0.00095010677,0.07143713,"[4.4750376, 0.12776749, 0.12677933, 0.9712985, 0.958271]",0.12776749,0.9712985,0.12677933,0.958271,1.9295695
0.32560644,0.00039805638,0.3260045,"[4.463791, 0.1064724, 0.15977906, 0.8374805, 0.9637959]",0.1064724,0.8374805,0.15977906,0.9637959,1.8012764
0.23185968,0.0006271133,0.2324868,"[5.4147716, 0.22091638, 0.13282949, 0.9193747, 0.95793784]",0.22091638,0.9193747,0.13282949,0.95793784,1.8773125
0.4371631,0.00058102654,0.43774414,"[3.9052796, 0.094294034, 0.12779705, 0.7241994, 0.9601693]",0.094294034,0.7241994,0.12779705,0.9601693,1.6843687
0.40268147,0.00078353216,0.403465,"[4.2523317, 0.14264111, 0.12989523, 0.5688963, 0.9580721]",0.14264111,0.5688963,0.12989523,0.9580721,1.5269685
0.24232018,0.000515142,0.24283533,"[3.9185402, 0.09215492, 0.12262533, 0.8030672, 0.96767074]",0.09215492,0.8030672,0.12262533,0.96767074,1.7707379
0.19269912,0.00020241734,0.19290154,"[4.4597225, 0.123063095, 0.14625096, 0.7922878, 0.97429436]",0.123063095,0.7922878,0.14625096,0.97429436,1.7665823
0.23638092,0.00017428232,0.2365552,"[4.7341757, 0.11274157, 0.18601263, 0.7721772, 0.9744564]",0.11274157,0.7721772,0.18601263,0.9744564,1.7466336
0.12209001,0.00029372092,0.122383736,"[5.331106, 0.2087727, 0.14340469, 0.83985734, 0.969475]",0.2087727,0.83985734,0.14340469,0.969475,1.8093324
